Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
knn,none,0.919860627,0.840517241,0.955882353,0.894495413,0.914634146,0.900862069,0.889361702,0.895074946,0.930313589,0.896551724,0.928571429,0.912280702,0.918118467,0.86637931,0.926267281,0.89532294,0.925087108,0.905172414,0.909090909,0.90712743
knn,none,0.942508711,0.942982456,0.914893617,0.928725702,0.933797909,0.929824561,0.905982906,0.917748918,0.93728223,0.934210526,0.91025641,0.922077922,0.93728223,0.947368421,0.9,0.923076923,0.945993031,0.929824561,0.933920705,0.931868132
knn,none,0.93902439,0.913419913,0.933628319,0.923413567,0.93902439,0.926406926,0.922413793,0.924406048,0.940766551,0.909090909,0.941704036,0.925110132,0.933797909,0.874458874,0.957345972,0.914027149,0.942508711,0.935064935,0.923076923,0.929032258
knn,none,0.918118467,0.856502242,0.927184466,0.89044289,0.933797909,0.928251121,0.903930131,0.915929204,0.918118467,0.847533632,0.935643564,0.889411765,0.925087108,0.869955157,0.932692308,0.900232019,0.930313589,0.896860987,0.921658986,0.909090909
knn,none,0.926829268,0.872427984,0.950672646,0.909871245,0.923344948,0.909465021,0.909465021,0.909465021,0.918118467,0.872427984,0.929824561,0.900212314,0.925087108,0.872427984,0.946428571,0.907922912,0.932055749,0.901234568,0.935897436,0.918238994
knn,none,0.93554007,0.926406926,0.914529915,0.920430108,0.919860627,0.909090909,0.893617021,0.901287554,0.926829268,0.904761905,0.912663755,0.908695652,0.926829268,0.935064935,0.888888889,0.911392405,0.916376307,0.9004329,0.892703863,0.896551724
knn,none,0.923344948,0.938388626,0.864628821,0.9,0.933797909,0.938388626,0.887892377,0.912442396,0.933797909,0.91943128,0.902325581,0.910798122,0.93554007,0.928909953,0.899082569,0.913752914,0.940766551,0.938388626,0.904109589,0.920930233
knn,none,0.916376307,0.868995633,0.917050691,0.892376682,0.93728223,0.917030568,0.925110132,0.921052632,0.930313589,0.886462882,0.935483871,0.910313901,0.940766551,0.930131004,0.922077922,0.926086957,0.93728223,0.899563319,0.940639269,0.919642857
knn,none,0.947735192,0.950892857,0.918103448,0.934210526,0.951219512,0.959821429,0.918803419,0.938864629,0.956445993,0.955357143,0.934497817,0.944812362,0.963414634,0.973214286,0.935622318,0.95404814,0.949477352,0.973214286,0.904564315,0.937634409
knn,none,0.926829268,0.871681416,0.938095238,0.903669725,0.912891986,0.845132743,0.927184466,0.884259259,0.923344948,0.845132743,0.955,0.896713615,0.928571429,0.871681416,0.942583732,0.905747126,0.926829268,0.871681416,0.938095238,0.903669725
